"Период","Сумма","Код раздела и подраздела полностью","Название подраздела","Тип","КБК","Комментарий","Код раздела","Наименование ГРБС","Код подраздела","Название раздела","Название вида расходов","ДокВерсия","Регион","Дата изменения","Код ГРБС","Название целевой статьи расходов","id","Уровень","Код целевой статьи расходов","Версия","Стадия","Код вида расходов"
"2014","100000.00","0705","Профессиональная подготовка, переподготовка и повышение квалификации","E","92707059962015200",,"07","Местная администрация муниципального образования муниципальный округ дачное","05","Образование","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на рганизацию подготовки, переподготовки и повышения квалификации выборных должностных лиц местного самоуправления, членов выборных органов местного самоуправления, депутатов представительных органов муниципальных образований, а также профессиональной подготовки, переподготовки и повышения квалификации муниципальных служащих и работников муниципальных учреждений","20","M","9962015","final","PR","200"
"2014","1815000.00","0707","Молодежная политика и оздоровление детей","E","92707070402016200",,"07","Местная администрация муниципального образования муниципальный округ дачное","07","Образование","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на проведение мероприятий по военно-патриотическому воспитанию молодежи, проживающей на территории мо дачное","21","M","0402016","final","PR","200"
"2014","60000.00","0709","Другие вопросы в области образовании","E","92707090512017200",,"07","Местная администрация муниципального образования муниципальный округ дачное","09","Образование","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по профилактике правонарушений на территории мо дачное","22","M","0512017","final","PR","200"
"2014","20000.00","0709","Другие вопросы в области образовании","E","92707090522018200",,"07","Местная администрация муниципального образования муниципальный округ дачное","09","Образование","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по участию в профилактике терроризма и экстремизма на территории мо дачное","23","M","0522018","final","PR","200"
"2014","70000.00","0709","Другие вопросы в области образовании","E","92707090532019200",,"07","Местная администрация муниципального образования муниципальный округ дачное","09","Образование","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по профилактике дорожно-транспортного травматизма на территории мо дачное","24","M","0532019","final","PR","200"
"2014","5450000.00","0801","Культура","E","92708010602020200",,"08","Местная администрация муниципального образования муниципальный округ дачное","01","Культура, кинематография","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по организации местных и участию в организации и проведении городских праздничных и иных зрелищных мероприятий","25","M","0602020","final","PR","200"
"2014","1600000.00","0801","Культура","E","92708010702021200",,"08","Местная администрация муниципального образования муниципальный округ дачное","01","Культура, кинематография","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по организации и проведению досуговых мероприятий для жителей мо дачное","26","M","0702021","final","PR","200"
"2014","314700.00","1003","Социальное обеспечение населения","E","92710039973001300",,"10","Местная администрация муниципального образования муниципальный округ дачное","03","Социальная политика","Социальное обеспечение и иные выплаты населению","1",,"2015","927","Расходы на выплаты доплаты к пенсии лицам, замещавшим муниципальные должности, должности муниципальной службы в мо дачное","27","M","9973001","final","PR","300"
"2014","3386900.00","1004","Охрана семьи и детства","E","92710047828002100",,"10","Местная администрация муниципального образования муниципальный округ дачное","04","Социальная политика","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","927","Субвенции бюджетам муниципальных образований на исполнение государственного полномочия по организации и осуществлению деятельности по опеке и попечительству","28","M","7828002","final","PR","100"
"2014","240500.00","1004","Охрана семьи и детства","E","92710047828002200",,"10","Местная администрация муниципального образования муниципальный округ дачное","04","Социальная политика","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Субвенции бюджетам муниципальных образований на исполнение государственного полномочия по организации и осуществлению деятельности по опеке и попечительству","29","M","7828002","final","PR","200"
"2014","10282500.00","1004","Охрана семьи и детства","E","92710045118003300",,"10","Местная администрация муниципального образования муниципальный округ дачное","04","Социальная политика","Социальное обеспечение и иные выплаты населению","1",,"2015","927","Субвенции бюджетам муниципальных образований на исполнение государственных полномочий по выплате денежных средств на содержание ребенка в семье опекуна, приемной семье","30","M","5118003","final","PR","300"
"2014","3985300.00","1004","Охрана семьи и детства","E","92710045118004300",,"10","Местная администрация муниципального образования муниципальный округ дачное","04","Социальная политика","Социальное обеспечение и иные выплаты населению","1",,"2015","927","Субвенции бюджетам муниципальных образований на исполнение государственного полномочия по выплате денежных средств на вознаграждение приемным родителям","31","M","5118004","final","PR","300"
"2014","2055000.00","1102","Массовый спорт","E","92711020802022200",,"11","Местная администрация муниципального образования муниципальный округ дачное","02","Физическая культура и спорт","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на мероприятия по созданию условий для развития на территории мо дачное массовой физической культуры и спорта","32","M","0802022","final","PR","200"
"2014","1758300.00","1202","Периодическая печать и издательства","E","92712029982022200",,"12","Местная администрация муниципального образования муниципальный округ дачное","02","Средства массовой информации","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","927","Расходы на финансирование издания газеты ""наш округ дачное"" и ""округ дачное. спецвыпуск""","33","M","9982022","final","PR","200"
"2014","660400.00","0107","Обеспечение проведения выборов и референдумов","E","93801079411007100",,"01","Избирательная комиссия муниципального образования муниципальный округ дачное","07","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","938","Расходы на обеспечение функций членов избирательной комиссии муниципального образования","34","M","9411007","final","PR","100"
"2014","1000.00","0107","Обеспечение проведения выборов и референдумов","E","93801079411007200",,"01","Избирательная комиссия муниципального образования муниципальный округ дачное","07","Общегосударственные вопросы","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","938","Расходы на обеспечение функций членов избирательной комиссии муниципального образования","35","M","9411007","final","PR","200"
"2014","4200000.00","0107","Обеспечение проведения выборов и референдумов","E","93801079442001200",,"01","Избирательная комиссия муниципального образования муниципальный округ дачное","07","Общегосударственные вопросы","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","938","Расходы на проведение выборов в представительные органы мо дачное","36","M","9442001","final","PR","200"
"2014","1037900.00","0102","Функционирование высшего должностного лица субъекта российской федерации и муниципального образования","E","96501027711001100",,"01","Муниципальный совет муниципального образования муниципальный округ дачное","02","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","965","Расходы на обеспечение функций главы муниципального образования-председателя мс","37","M","7711001","final","PR","100"
"2014","855400.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","96501039611002100",,"01","Муниципальный совет муниципального образования муниципальный округ дачное","03","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","965","Расходы на обеспечение функций секретаря мс мо дачное","38","M","9611002","final","PR","100"
"2014","1602700.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","96501039621003100",,"01","Муниципальный совет муниципального образования муниципальный округ дачное","03","Общегосударственные вопросы","Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами","1",,"2015","965","Расходы на обеспечение функций аппарата мс мо дачное","39","M","9621003","final","PR","100"
"2014","1329600.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","96501039621003200",,"01","Муниципальный совет муниципального образования муниципальный округ дачное","03","Общегосударственные вопросы","Закупка товаров, работ и услуг для госудаственных (муниципальных) нужд","1",,"2015","965","Расходы на обеспечение функций аппарата мс мо дачное","40","M","9621003","final","PR","200"
"2014","42000.00","0103","Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований","E","96501039621003800",,"01","Муниципальный совет муниципального образования муниципальный округ дачное","03","Общегосударственные вопросы","Иные бюджетные ассигнования","1",,"2015","965","Расходы на обеспечение функций аппарата мс мо дачное","41","M","9621003","final","PR","800"
